gg,1619474400000,1619735400000,1619737200000,1,1
g,1619733600000,1619735400000,1619734500000,1,1
bepomassimonava,1620116475769,1620127275769,1620138075769,0,0
2,1620116475769,1620127275769,1620138075769,1,1
3,1620116475769,1620127275769,1620138075769,2,2
4,1620116475769,1620127275769,1620138075769,3,3
5,1620116475769,1620127275769,1620138075769,4,4
Prova,1620165600000,1620166500000,1620167400000,0,0
basso,1620165600000,1620189900000,1620203400000,3,3
2,1620165600000,1620249300000,1620250200000,1,1
nava,1620252000000,1620258300000,1620266400000,1,1
Prova,1620252000000,1620264600000,1620272700000,1,1
crash,1620252000000,1620265500000,1620252000000,0,0
test1,1620511200000,1620511200000,1620515700000,2,2
test2,1620597600000,1620607500000,1620598500000,4,4
